allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,refseq_gene,refseq_protein,refseq_genome,refseq_organism,refseq_parent,rrefseq_protein,refseq_same_parent,genbank_organsim_nuc,genbank_strain_nuc,genbank_organsim_prot,genbank_strain_prot,strain,parent_taxon
blaORR-1,blaORR,,subclass B1 metallo-beta-lactamase ORR-1,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_109545042.1,NG_059317.1,Yes,,CP003283.1,-,433615,434382,+,101.0,868.0,,,,blaORR-1,2023-11-15.1,Ornithobacterium rhinotracheale DSM 15997 blaORR,subclass B1 metallo-beta-lactamase ORR-1,,Ornithobacterium rhinotracheale DSM 15997,Ornithobacterium rhinotracheale,subclass B1 metallo-beta-lactamase ORR-1,Ornithobacterium rhinotracheale,Ornithobacterium rhinotracheale DSM 15997,DSM 15997,,,Ornithobacterium rhinotracheale DSM 15997,http://www.wikidata.org/entity/Q1275398
blaOXA-1000,blaOXA,,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1000,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_231869625.1,NG_078021.1,No,QWA20199.1,MZ265752.1,+,1,822,+,1.0,822.0,,,,blaOXA-1000,2023-11-15.1,Acinetobacter pittii IHIT44677 blaOXA,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1000,,Acinetobacter pittii,Acinetobacter pittii,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1000,Acinetobacter pittii,Acinetobacter pittii,IHIT44677,Acinetobacter pittii,IHIT44677,Acinetobacter pittii IHIT44677,http://www.wikidata.org/entity/Q16825015
blaOXA-1001,blaOXA,,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-1001,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_042088348.1,NG_078022.1,No,QWA20201.1,MZ265754.1,+,1,831,+,1.0,831.0,,,,blaOXA-1001,2023-11-15.1,Acinetobacter bereziniae IHIT44681 blaOXA,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-1001,,Acinetobacter bereziniae,Acinetobacter bereziniae,OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-1001,Acinetobacter bereziniae,Acinetobacter bereziniae,IHIT44681,Acinetobacter bereziniae,IHIT44681,Acinetobacter bereziniae IHIT44681,http://www.wikidata.org/entity/Q16824964
blaOXA-1002,blaOXA,,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1002,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_231869626.1,NG_078023.1,No,QWA20202.1,MZ265755.1,+,1,822,+,1.0,822.0,,,,blaOXA-1002,2023-11-15.1,Acinetobacter pittii IHIT44683 blaOXA,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1002,,Acinetobacter pittii,Acinetobacter pittii,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1002,Acinetobacter pittii,Acinetobacter pittii,IHIT44683,Acinetobacter pittii,IHIT44683,Acinetobacter pittii IHIT44683,http://www.wikidata.org/entity/Q16825015
blaOXA-1005,blaOXA,,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-1005,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_163170629.1,NG_078026.1,No,QWA20205.1,MZ265758.1,+,1,831,+,1.0,831.0,,,,blaOXA-1005,2023-11-15.1,Acinetobacter schindleri IHIT44692 blaOXA,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-1005,,Acinetobacter schindleri,Acinetobacter,OXA-134 family carbapenem-hydrolyzing class D beta-lactamase OXA-1005,Acinetobacter,Acinetobacter schindleri,IHIT44692,Acinetobacter schindleri,IHIT44692,Acinetobacter schindleri IHIT44692,http://www.wikidata.org/entity/Q16825028
blaOXA-1006,blaOXA,,class D beta-lactamase OXA-1006,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_231869629.1,NG_078027.1,No,QWA20206.1,MZ265759.1,+,1,828,+,1.0,828.0,,,,blaOXA-1006,2023-11-15.1,Acinetobacter johnsonii IHIT44693 blaOXA,class D beta-lactamase OXA-1006,,Acinetobacter johnsonii,Acinetobacter johnsonii,class D beta-lactamase OXA-1006,Acinetobacter johnsonii,Acinetobacter johnsonii,IHIT44693,Acinetobacter johnsonii,IHIT44693,Acinetobacter johnsonii IHIT44693,http://www.wikidata.org/entity/Q16991480
blaOXA-1008,blaOXA,,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1008,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_231869631.1,NG_078029.1,No,QWA20208.1,MZ265761.1,+,1,822,+,1.0,822.0,,,,blaOXA-1008,2023-11-15.1,Acinetobacter lactucae IHIT44695 blaOXA,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1008,,Acinetobacter lactucae,Acinetobacter lactucae,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1008,Acinetobacter lactucae,Acinetobacter lactucae,IHIT44695,Acinetobacter lactucae,IHIT44695,Acinetobacter lactucae IHIT44695,http://www.wikidata.org/entity/Q55603144
blaOXA-1009,blaOXA,,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1009,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_231869632.1,NG_078030.1,No,QWA20209.1,MZ265762.1,+,1,822,+,1.0,822.0,,,,blaOXA-1009,2023-11-15.1,Acinetobacter calcoaceticus IHIT44697 blaOXA,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1009,,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1009,Acinetobacter calcoaceticus,Acinetobacter calcoaceticus,IHIT44697,Acinetobacter calcoaceticus,IHIT44697,Acinetobacter calcoaceticus IHIT44697,http://www.wikidata.org/entity/Q4674168
blaOXA-1010,blaOXA,,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1010,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_231869633.1,NG_078031.1,No,QWA20210.1,MZ265763.1,+,1,822,+,1.0,822.0,,,,blaOXA-1010,2023-11-15.1,Acinetobacter lactucae IHIT44698 blaOXA,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1010,,Acinetobacter lactucae,Acinetobacter lactucae,OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-1010,Acinetobacter lactucae,Acinetobacter lactucae,IHIT44698,Acinetobacter lactucae,IHIT44698,Acinetobacter lactucae IHIT44698,http://www.wikidata.org/entity/Q55603144
blaOXA-1011,blaOXA,,class D beta-lactamase OXA-1011,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_211816370.1,NG_076852.1,No,QUG49855.1,CP073309.1,-,11530,88,+,101.0,901.0,35231657,,,blaOXA-1011,2023-11-15.1,Klebsiella michiganensis CZ598 pCZ598_GES7 blaOXA,class D beta-lactamase OXA-1011,,Klebsiella michiganensis,Klebsiella michiganensis,class D beta-lactamase OXA-1011,Klebsiella michiganensis,Klebsiella michiganensis,CZ598,Klebsiella michiganensis,CZ598,Klebsiella michiganensis CZ598,http://www.wikidata.org/entity/Q25860977
blaOXA-1013,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1013,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_219860726.1,NG_076673.1,No,QWW93433.1,MZ424303.1,+,1,825,+,1.0,825.0,,,,blaOXA-1013,2023-11-15.1,Acinetobacter baumannii 21A3147 blaOXA,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1013,,Acinetobacter baumannii,Acinetobacter baumannii,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-1013,Acinetobacter baumannii,Acinetobacter baumannii,21A3147,Acinetobacter baumannii,21A3147,Acinetobacter baumannii 21A3147,http://www.wikidata.org/entity/Q3241189
blaOXA-1014,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1014,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_049291121.1,NG_076674.1,No,QWY90351.1,MZ449317.1,+,1,789,+,1.0,789.0,,,,blaOXA-1014,2023-11-15.1,Pseudomonas aeruginosa 185934 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1014,,Pseudomonas aeruginosa,Pseudomonas,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1014,Pseudomonas,Pseudomonas aeruginosa,185934,Pseudomonas aeruginosa,185934,Pseudomonas aeruginosa 185934,http://www.wikidata.org/entity/Q31856
blaOXA-1017,blaOXA,,OXA-2 family class D beta-lactamase OXA-1017,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_219860730.1,NG_076678.1,No,QXJ78545.1,MZ497412.1,+,1,828,+,1.0,828.0,,,,blaOXA-1017,2023-11-15.1,Enterobacter cloacae NRZ-66971 blaOXA,OXA-2 family class D beta-lactamase OXA-1017,,Enterobacter cloacae,Enterobacter cloacae,OXA-2 family class D beta-lactamase OXA-1017,Enterobacter cloacae,Enterobacter cloacae,NRZ-66971,Enterobacter cloacae,NRZ-66971,Enterobacter cloacae NRZ-66971,http://www.wikidata.org/entity/Q4038096
blaOXA-1018,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1018,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_223146972.1,NG_076815.1,No,QYH55590.1,MZ672117.1,+,1,789,+,1.0,789.0,,,,blaOXA-1018,2023-11-15.1,Pseudomonas aeruginosa 142345 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1018,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1018,Pseudomonas aeruginosa,Pseudomonas aeruginosa,142345,Pseudomonas aeruginosa,142345,Pseudomonas aeruginosa 142345,http://www.wikidata.org/entity/Q31856
blaOXA-1019,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1019,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_196658681.1,NG_076816.1,No,QYH55591.1,MZ672118.1,+,1,789,+,1.0,789.0,,,,blaOXA-1019,2023-11-15.1,Pseudomonas aeruginosa IOA-16 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1019,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1019,Pseudomonas aeruginosa,Pseudomonas aeruginosa,IOA-16,Pseudomonas aeruginosa,IOA-16,Pseudomonas aeruginosa IOA-16,http://www.wikidata.org/entity/Q31856
blaOXA-1020,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1020,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_126584556.1,NG_076817.1,No,QYH55592.1,MZ672119.1,+,1,789,+,1.0,789.0,,,,blaOXA-1020,2023-11-15.1,Pseudomonas aeruginosa IOA-12 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1020,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1020,Pseudomonas aeruginosa,Pseudomonas aeruginosa,IOA-12,Pseudomonas aeruginosa,IOA-12,Pseudomonas aeruginosa IOA-12,http://www.wikidata.org/entity/Q31856
blaOXA-1021,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1021,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_121306048.1,NG_076818.1,No,QYH55593.1,MZ672120.1,+,1,792,+,1.0,792.0,,,,blaOXA-1021,2023-11-15.1,Pseudomonas aeruginosa 175090 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1021,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1021,Pseudomonas aeruginosa,Pseudomonas aeruginosa,175090,Pseudomonas aeruginosa,175090,Pseudomonas aeruginosa 175090,http://www.wikidata.org/entity/Q31856
blaOXA-1022,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1022,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_034027761.1,NG_076819.1,No,QYH55594.1,MZ672121.1,+,1,789,+,1.0,789.0,,,,blaOXA-1022,2023-11-15.1,Pseudomonas aeruginosa Pae10 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1022,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1022,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Pae10,Pseudomonas aeruginosa,Pae10,Pseudomonas aeruginosa Pae10,http://www.wikidata.org/entity/Q31856
blaOXA-1023,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1023,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_034033411.1,NG_076820.1,No,QYH55595.1,MZ672122.1,+,1,789,+,1.0,789.0,,,,blaOXA-1023,2023-11-15.1,Pseudomonas aeruginosa 174693 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1023,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1023,Pseudomonas aeruginosa,Pseudomonas aeruginosa,174693,Pseudomonas aeruginosa,174693,Pseudomonas aeruginosa 174693,http://www.wikidata.org/entity/Q31856
blaOXA-1024,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1024,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_058354753.1,NG_076821.1,No,QYH55596.1,MZ672123.1,+,1,789,+,1.0,789.0,,,,blaOXA-1024,2023-11-15.1,Pseudomonas aeruginosa 185566 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1024,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1024,Pseudomonas aeruginosa,Pseudomonas aeruginosa,185566,Pseudomonas aeruginosa,185566,Pseudomonas aeruginosa 185566,http://www.wikidata.org/entity/Q31856
blaOXA-1025,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1025,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_034025854.1,NG_076822.1,No,QYH55597.1,MZ672124.1,+,1,789,+,1.0,789.0,,,,blaOXA-1025,2023-11-15.1,Pseudomonas aeruginosa Pae2 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1025,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1025,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Pae2,Pseudomonas aeruginosa,Pae2,Pseudomonas aeruginosa Pae2,http://www.wikidata.org/entity/Q31856
blaOXA-1026,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1026,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_019396295.1,NG_076823.1,No,QYH55598.1,MZ672125.1,+,1,789,+,1.0,789.0,,,,blaOXA-1026,2023-11-15.1,Pseudomonas aeruginosa 196962 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1026,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1026,Pseudomonas aeruginosa,Pseudomonas aeruginosa,196962,Pseudomonas aeruginosa,196962,Pseudomonas aeruginosa 196962,http://www.wikidata.org/entity/Q31856
blaOXA-1027,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1027,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_058142895.1,NG_076824.1,No,QYH55599.1,MZ672126.1,+,1,789,+,1.0,789.0,,,,blaOXA-1027,2023-11-15.1,Pseudomonas aeruginosa Pae71 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1027,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1027,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Pae71,Pseudomonas aeruginosa,Pae71,Pseudomonas aeruginosa Pae71,http://www.wikidata.org/entity/Q31856
blaOXA-1028,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1028,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_017002439.1,NG_076825.1,No,QYH55600.1,MZ672127.1,+,1,789,+,1.0,789.0,,,,blaOXA-1028,2023-11-15.1,Pseudomonas aeruginosa 196400 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1028,,Pseudomonas aeruginosa,Pseudomonas,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1028,Pseudomonas,Pseudomonas aeruginosa,196400,Pseudomonas aeruginosa,196400,Pseudomonas aeruginosa 196400,http://www.wikidata.org/entity/Q31856
blaOXA-1029,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1029,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_126861771.1,NG_076826.1,No,QYH55601.1,MZ672128.1,+,1,789,+,1.0,789.0,,,,blaOXA-1029,2023-11-15.1,Pseudomonas aeruginosa 207681 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1029,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1029,Pseudomonas aeruginosa,Pseudomonas aeruginosa,207681,Pseudomonas aeruginosa,207681,Pseudomonas aeruginosa 207681,http://www.wikidata.org/entity/Q31856
blaOXA-103,blaOXA,,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-103,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_005025422.1,NG_049396.1,No,ENV88740.1,APQF01000011.1,+,291558,292379,+,101.0,922.0,18195058,,,blaOXA-103,2023-11-15.1,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 blaOXA,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-103,,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,Acinetobacter radioresistens,OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-103,Acinetobacter radioresistens,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,CIP 103788,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,CIP 103788,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788,http://www.wikidata.org/entity/Q16825019
blaOXA-1030,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1030,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_023097100.1,NG_076827.1,No,QYH55602.1,MZ672129.1,+,1,789,+,1.0,789.0,,,,blaOXA-1030,2023-11-15.1,Pseudomonas aeruginosa Pae73 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1030,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1030,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Pae73,Pseudomonas aeruginosa,Pae73,Pseudomonas aeruginosa Pae73,http://www.wikidata.org/entity/Q31856
blaOXA-1031,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1031,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_223146973.1,NG_076828.1,No,QYH55603.1,MZ672130.1,+,1,789,+,1.0,789.0,,,,blaOXA-1031,2023-11-15.1,Pseudomonas aeruginosa 207995 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1031,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1031,Pseudomonas aeruginosa,Pseudomonas aeruginosa,207995,Pseudomonas aeruginosa,207995,Pseudomonas aeruginosa 207995,http://www.wikidata.org/entity/Q31856
blaOXA-1032,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1032,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_023107469.1,NG_076829.1,No,QYH55604.1,MZ672131.1,+,1,789,+,1.0,789.0,,,,blaOXA-1032,2023-11-15.1,Pseudomonas aeruginosa Pae49 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1032,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1032,Pseudomonas aeruginosa,Pseudomonas aeruginosa,Pae49,Pseudomonas aeruginosa,Pae49,Pseudomonas aeruginosa Pae49,http://www.wikidata.org/entity/Q31856
blaOXA-1033,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1033,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_033937969.1,NG_076830.1,No,QYH55605.1,MZ672132.1,+,1,789,+,1.0,789.0,,,,blaOXA-1033,2023-11-15.1,Pseudomonas aeruginosa 6490 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1033,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1033,Pseudomonas aeruginosa,Pseudomonas aeruginosa,6490,Pseudomonas aeruginosa,6490,Pseudomonas aeruginosa 6490,http://www.wikidata.org/entity/Q31856
blaOXA-1034,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1034,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_033887259.1,NG_076831.1,No,QYH55606.1,MZ672133.1,+,1,789,+,1.0,789.0,,,,blaOXA-1034,2023-11-15.1,Pseudomonas aeruginosa 207939 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1034,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1034,Pseudomonas aeruginosa,Pseudomonas aeruginosa,207939,Pseudomonas aeruginosa,207939,Pseudomonas aeruginosa 207939,http://www.wikidata.org/entity/Q31856
blaOXA-1035,blaOXA,,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1035,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_023096365.1,NG_076840.1,No,QYZ89869.1,MZ720789.1,+,1,789,+,1.0,789.0,,,,blaOXA-1035,2023-11-15.1,Pseudomonas aeruginosa 131361 blaOXA,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1035,,Pseudomonas aeruginosa,Pseudomonas aeruginosa,OXA-50 family oxacillin-hydrolyzing class D beta-lactamase OXA-1035,Pseudomonas aeruginosa,Pseudomonas aeruginosa,131361,Pseudomonas aeruginosa,131361,Pseudomonas aeruginosa 131361,http://www.wikidata.org/entity/Q31856
blaOXA-1037,blaOXA,,class D beta-lactamase OXA-1037,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_128296272.1,NG_076812.1,No,BDB16607.1,LC650580.1,+,1,795,+,1.0,795.0,,,,blaOXA-1037,2023-11-15.1,Aeromonas caviae 12BC1 blaOXA,class D beta-lactamase OXA-1037,,Aeromonas caviae,Aeromonas caviae,class D beta-lactamase OXA-1037,Aeromonas caviae,Aeromonas caviae,12BC1,Aeromonas caviae,12BC1,Aeromonas caviae 12BC1,http://www.wikidata.org/entity/Q16825697
blaOXA-104,blaOXA,,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-104,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_024433915.1,NG_049397.1,No,BAP66909.1,AP014649.1,+,2233818,2234642,+,101.0,925.0,17391399,,,blaOXA-104,2023-11-15.1,Acinetobacter baumannii IOMTU 433 blaOXA,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-104,,Acinetobacter baumannii,Acinetobacter baumannii,OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-104,Acinetobacter baumannii,Acinetobacter baumannii,IOMTU 433,Acinetobacter baumannii,IOMTU 433,Acinetobacter baumannii IOMTU 433,http://www.wikidata.org/entity/Q3241189
blaOXA-1040,blaOXA,,OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-1040,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_231869647.1,NG_078047.1,No,UBS26085.1,OK271078.1,+,1,828,+,1.0,828.0,,,,blaOXA-1040,2023-11-15.1,Acinetobacter baumannii HUC-101 blaOXA,OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-1040,,Acinetobacter baumannii,Acinetobacter baumannii,OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-1040,Acinetobacter baumannii,Acinetobacter baumannii,HUC-101,Acinetobacter baumannii,HUC-101,Acinetobacter baumannii HUC-101,http://www.wikidata.org/entity/Q3241189
blaOXA-1041,blaOXA,,OXA-427 family carbapenem-hydrolyzing class D beta-lactamase OXA-1041,core,AMR,AMR,BETA-LACTAM,CARBAPENEM,WP_231869649.1,NG_078050.1,No,UDL18775.1,OK576522.1,+,1,795,+,1.0,795.0,36995982,,,blaOXA-1041,2023-11-15.1,Citrobacter freundii 140542 unnamed blaOXA,OXA-427 family carbapenem-hydrolyzing class D beta-lactamase OXA-1041,,Citrobacter freundii,Gammaproteobacteria,OXA-427 family carbapenem-hydrolyzing class D beta-lactamase OXA-1041,Gammaproteobacteria,Citrobacter freundii,140542,Citrobacter freundii,140542,Citrobacter freundii 140542,http://www.wikidata.org/entity/Q5122842
blaOXA-1042,blaOXA,,OXA-1 family class D beta-lactamase OXA-1042,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_231869587.1,NG_077974.1,No,BDB58062.1,LC651191.1,+,1,831,+,1.0,831.0,,,,blaOXA-1042,2023-11-15.1,Aeromonas veronii bv. veronii 12BC2 blaOXA,OXA-1 family class D beta-lactamase OXA-1042,,Aeromonas veronii bv. veronii,Aeromonas veronii,OXA-1 family class D beta-lactamase OXA-1042,Aeromonas veronii,Aeromonas veronii bv. veronii,12BC2,Aeromonas veronii bv. veronii,12BC2,Aeromonas veronii bv. veronii 12BC2,http://www.wikidata.org/entity/Q4688339
blaOXA-1043,blaOXA,,class D beta-lactamase OXA-1043,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,WP_077021671.1,NG_077971.1,No,QUN38553.1,CP073669.1,+,2245542,2246348,+,101.0,907.0,,,,blaOXA-1043,2023-11-15.1,Burkholderia cenocepacia toggle2 blaOXA,class D beta-lactamase OXA-1043,,Burkholderia cenocepacia,Burkholderia cenocepacia,class D beta-lactamase OXA-1043,Burkholderia cenocepacia,Burkholderia cenocepacia,toggle2,Burkholderia cenocepacia,toggle2,Burkholderia cenocepacia toggle2,http://www.wikidata.org/entity/Q4810500
